Stream Trained,Job Role,Placement Number,Placement: Resource: Full Name,Operating Location Name,FDM Office,Start Date,End Date,Degree Classification,University of Study,Degree Subject
Testing,Testing,17,First Name Surname 17,Birmingham New Street,London,07/03/2013,31/03/2016,2:2,De Montfort University,Biological Sciences
Development (.Net),Consulting,15,First Name Surname 15,Moorgate,London,11/03/2013,10/03/2016,2:1,University of Reading,Politics
Development (Java),Consulting,25,First Name Surname 25,Leeds Centre,London,18/03/2013,10/03/2016,2:2,Bangor University,Forensic Computing
Data Analyst,PMO,13,First Name Surname 13,Moorgate,London,18/03/2013,17/03/2016,1,University of Leicester,Modern Languages
Application Support,Support,26,First Name Surname 26,Moorgate,London,18/03/2013,17/03/2016,2:1,University of Central Lancashire,Computer Science
Development (Java),Consulting,28,First Name Surname 28,Newcastle,London,25/03/2013,24/12/2015,2:1,Loughbourgh University,Physics and Astronomy
PMO,Testing,20,First Name Surname 20,Birmingham New Street,London,25/03/2013,31/12/2015,2:1,University of Sheffield,Economics
Development (Java),Consulting,18,First Name Surname 18,Moorgate,London,25/03/2013,31/12/2015,3,London School of Economics and Politics,Economics
Development (Java),Consulting,14,First Name Surname 14,Birmingham New Street,London,25/03/2013,24/03/2016,2:1,Open University,Business and Management Studies
Development (Java),Support,21,First Name Surname 21,Birmingham New Street,London,25/03/2013,24/03/2016,3,University of Liverpool,Business and Management Studies
Development (.Net),Infrastructure,22,First Name Surname 22,Birmingham New Street,London,25/03/2013,24/03/2016,2:2,University of Leicester,Computer Science
Development (Java),Support,23,First Name Surname 23,Birmingham New Street,London,25/03/2013,24/03/2016,2:2,University of Chester,Computer Science
Application Support,Support,24,First Name Surname 24,Birmingham New Street,London,25/03/2013,24/03/2016,2:1,University of Reading,Geography and Environmental Sciences
Application Support,Consulting,29,First Name Surname 29,Newcastle,London,02/04/2013,24/12/2015,2:1,University of St Andrews,Forensic Computing
Development (Java),Support,30,First Name Surname 30,Birmingham New Street,London,02/04/2013,01/04/2016,2:2,Newcastle University ,Mechanical Engineering
Testing,Testing,31,First Name Surname 31,Moorgate,London,08/04/2013,08/01/2016,1,University of Reading,Politics
Testing,Support,19,First Name Surname 19,Birmingham New Street,London,15/04/2013,31/12/2015,3,Newcastle University ,Mathematics
Testing,Testing,32,First Name Surname 32,Birmingham New Street,London,15/04/2013,31/03/2016,2:2,University of Leicester,Forensic Computing
Testing,Testing,33,First Name Surname 33,Birmingham New Street,London,15/04/2013,31/03/2016,1,Manchester Metropolitan University,Marketing
Testing,Testing,35,First Name Surname 35,Birmingham New Street,London,17/04/2013,31/03/2016,2:1,Open University,Business and Management Studies
Application Support,Support,27,First Name Surname 27,Birmingham New Street,London,22/04/2013,21/04/2016,2:2,Bangor University,Electrical and Electronic Engineering
Development (.Net),Consulting,34,First Name Surname 34,Leeds Centre,London,13/05/2013,12/05/2016,1,University of St Andrews,Economics
Data Analyst,Data Services,37,First Name Surname 37,Newcastle,London,13/05/2013,12/05/2016,2:1,University of Liverpool,Mechanical Engineering
Development (Java),Consulting,38,First Name Surname 38,Newcastle,London,28/05/2013,31/03/2016,2:1,University of Reading,History
Infrastructure,Consulting,42,First Name Surname 42,Birmingham New Street,London,10/06/2013,31/12/2015,3,Bangor University,Mechanical Engineering
Testing,Testing,43,First Name Surname 43,Leeds Centre,London,17/06/2013,21/12/2015,2:1,University of Sheffield,Chemistry
Development (.Net),Consulting,36,First Name Surname 36,Newcastle,London,01/07/2013,31/12/2015,2:2,University of Sheffield,Marketing
Infrastructure,Infrastructure,44,First Name Surname 44,Moorgate,Leeds,01/07/2013,28/06/2016,2:1,University of Reading,Business and Management Studies
Development (.Net),Consulting,39,First Name Surname 39,Leeds Centre,London,04/07/2013,31/03/2016,2:1,University of Glasgow,Electrical and Electronic Engineering
Data Analyst,Data Services,47,First Name Surname 47,Birmingham New Street,London,15/07/2013,31/12/2015,3,University of Liverpool,Business and Management Studies
PMO,Data Services,41,First Name Surname 41,Newcastle,London,15/07/2013,30/01/2016,2:1,University of Nottingham,Business and Management Studies
Development (Java),Consulting,40,First Name Surname 40,Leeds Centre,London,26/07/2013,31/03/2016,3,Cardiff University,History
PMO,PMO,51,First Name Surname 51,Birmingham New Street,London,12/08/2013,31/12/2015,2:2,Bangor University,Politics
PMO,Data Services,49,First Name Surname 49,Newcastle,London,13/08/2013,31/12/2015,2:1,Nottingham Trent University,Chemistry
Testing,PMO,65,First Name Surname 65,Oxford Circus,London,27/08/2013,31/12/2015,2:1,University College London,Physics and Astronomy
Data Analyst,Data Services,53,First Name Surname 53,Newcastle,London,27/08/2013,26/08/2016,2:2,De Montfort University,Physics and Astronomy
PMO,PMO,54,First Name Surname 54,Leeds Centre,London,02/09/2013,31/03/2016,3,University of Liverpool,Politics
Development (.Net),Consulting,55,First Name Surname 55,Oxford Circus,London,09/09/2013,31/12/2015,2:2,University of Portsmouth,Business and Management Studies
Development (Java),Business Intelligence,48,First Name Surname 48,Birmingham New Street,London,09/09/2013,31/12/2015,2:1,University of Leicester,Modern Languages
Testing,Testing,45,First Name Surname 45,Birmingham New Street,London,16/09/2013,13/12/2015,2:1,University of East Anglia,Aeronautical Engineering
PMO,PMO,67,First Name Surname 67,Birmingham New Street,London,16/09/2013,31/01/2016,2:2,University of Chester,Aeronautical Engineering
Testing,Testing,69,First Name Surname 69,Moorgate,London,23/09/2013,30/11/2015,2:2,University of York,Computer Science
Application Support,Support,66,First Name Surname 66,Birmingham New Street,London,23/09/2013,22/12/2015,2:1,University of Central Lancashire,Electrical and Electronic Engineering
Testing,Testing,83,First Name Surname 83,Moorgate,London,26/09/2013,01/02/2016,2:1,University of Leicester,History
Application Support,Support,50,First Name Surname 50,Moorgate,Leeds,30/09/2013,29/03/2016,2:1,London Metropolitan University,Economics
Testing,Testing,85,First Name Surname 85,Leeds Centre,London,07/10/2013,21/12/2015,3,De Montfort University,Business and Management Studies
Application Support,Support,52,First Name Surname 52,Birmingham New Street,Leeds,07/10/2013,01/04/2016,2:2,Swansea University,Business and Management Studies
Testing,Testing,86,First Name Surname 86,Oxford Circus,London,14/10/2013,30/11/2015,2:1,University of Sheffield,Business and Management Studies
Development (.Net),Consulting,81,First Name Surname 81,Leeds Centre,London,14/10/2013,20/03/2016,2:1,Coventry University,History
Data Analyst,Data Services,84,First Name Surname 84,Leeds Centre,London,14/10/2013,13/04/2016,2:1,Cardiff University,Accounting and Finance
Testing,Testing,96,First Name Surname 96,Birmingham New Street,London,15/10/2013,31/03/2016,3,University of Central Lancashire,Chemistry
PMO,PMO,87,First Name Surname 87,Leeds Centre,London,21/10/2013,31/12/2015,2:1,University of Glasgow,Computer Science
Testing,Testing,71,First Name Surname 71,Newcastle,London,21/10/2013,18/01/2016,2:2,Manchester Metropolitan University,Chemical Engineering
PMO,PMO,70,First Name Surname 70,Leeds Centre,London,21/10/2013,21/04/2016,1,Nottingham Trent University,Marketing
Development (Java),Support,68,First Name Surname 68,Leeds Centre,London,28/10/2013,30/04/2016,2:1,Loughbourgh University,Physics and Astronomy
PMO,PMO,90,First Name Surname 90,Birmingham New Street,London,29/10/2013,31/01/2016,1,University of Manchester,Computer Science
Application Support,Support,56,First Name Surname 56,Birmingham New Street,London,04/11/2013,31/12/2015,2:2,University of Leicester,Politics
Development (Java),Support,57,First Name Surname 57,Birmingham New Street,London,04/11/2013,31/12/2015,3,Loughbourgh University,Biological Sciences
Development (Java),Support,58,First Name Surname 58,Birmingham New Street,London,04/11/2013,31/12/2015,2:2,University of East Anglia,Marketing
Application Support,Support,59,First Name Surname 59,Birmingham New Street,London,04/11/2013,31/12/2015,2:2,University of Reading,Chemistry
Development (Java),Support,60,First Name Surname 60,Birmingham New Street,London,04/11/2013,31/12/2015,2:2,Newcastle University ,Mechanical Engineering
Application Support,Support,61,First Name Surname 61,Birmingham New Street,London,04/11/2013,31/12/2015,2:1,University of Sheffield,Psychology
Development (Java),Support,62,First Name Surname 62,Birmingham New Street,London,04/11/2013,31/12/2015,2:2,University of Central Lancashire,Electrical and Electronic Engineering
Development (Java),Support,63,First Name Surname 63,Birmingham New Street,London,04/11/2013,31/12/2015,2:2,University of Sheffield,Accounting and Finance
Development (Java),Support,64,First Name Surname 64,Birmingham New Street,London,04/11/2013,31/12/2015,2:1,University College London,Physics and Astronomy
PMO,PMO,92,First Name Surname 92,Birmingham New Street,London,04/11/2013,31/01/2016,2:2,University of York,Politics
Development (Java),Consulting,94,First Name Surname 94,Oxford Circus,London,11/11/2013,08/04/2016,3,Nottingham Trent University,Mechanical Engineering
Testing,Testing,46,First Name Surname 46,Moorgate,London,18/11/2013,13/12/2015,2:2,University of Leicester,Computer Science
Testing,Testing,88,First Name Surname 88,Birmingham New Street,London,18/11/2013,31/12/2015,2:2,Coventry University,Business and Management Studies
Testing,Testing,89,First Name Surname 89,Birmingham New Street,London,18/11/2013,31/12/2015,2:1,University of Sheffield,Computer Science
Development (Java),Consulting,91,First Name Surname 91,Birmingham New Street,London,18/11/2013,31/12/2015,3,University of Leeds,Classics and Ancient History
Data Analyst,Data Services,100,First Name Surname 100,Leeds Centre,London,18/11/2013,11/05/2016,2:1,Swansea University,Civil Engineering
Data Analyst,Data Services,103,First Name Surname 103,Leeds Centre,London,18/11/2013,11/05/2016,2:1,University of Central Lancashire,Electrical and Electronic Engineering
Data Analyst,Data Services,99,First Name Surname 99,Leeds Centre,London,18/11/2013,17/05/2016,2:2,University of Central Lancashire,Computer Science
PMO,Data Services,123,First Name Surname 123,Leeds Centre,London,25/11/2013,20/11/2015,3,Coventry University,Mechanical Engineering
Development (Java),Consulting,93,First Name Surname 93,Birmingham New Street,London,25/11/2013,24/11/2015,2:2,University of Nottingham,Economics
Data Analyst,Data Services,117,First Name Surname 117,Leeds Centre,London,02/12/2013,27/11/2015,2:2,Glasgow Caledonian University,Mechanical Engineering
PMO,Data Services,108,First Name Surname 108,Leeds Centre,London,02/12/2013,01/12/2015,2:2,Glasgow Caledonian University,Marketing
Data Analyst,Data Services,109,First Name Surname 109,Leeds Centre,London,02/12/2013,01/12/2015,2:2,Cardiff University,Electrical and Electronic Engineering
Application Support,Support,116,First Name Surname 116,Newcastle,London,02/12/2013,01/12/2015,1,University College London,Marketing
Data Analyst,Data Services,104,First Name Surname 104,Birmingham New Street,London,02/12/2013,18/12/2015,2:2,University of East Anglia,Accounting and Finance
Development (Java),Support,72,First Name Surname 72,Birmingham New Street,London,02/12/2013,31/12/2015,3,University of Manchester,Economics
Development (Java),Support,73,First Name Surname 73,Birmingham New Street,London,02/12/2013,31/12/2015,2:1,University of Reading,Computer Science
Development (Java),Support,74,First Name Surname 74,Birmingham New Street,London,02/12/2013,31/12/2015,2:2,University of Abertay,Computer Science
Development (Java),Support,75,First Name Surname 75,Birmingham New Street,London,02/12/2013,31/12/2015,3,Swansea University,Business and Management Studies
Development (Java),Support,77,First Name Surname 77,Birmingham New Street,London,02/12/2013,31/12/2015,2:1,University of Glasgow,Politics
Development (Java),Support,78,First Name Surname 78,Birmingham New Street,London,02/12/2013,31/12/2015,2:1,University of Salford,Civil Engineering
Development (Java),Support,79,First Name Surname 79,Birmingham New Street,London,02/12/2013,31/12/2015,2:1,Open University,Computer Science
Development (Java),Support,80,First Name Surname 80,Birmingham New Street,London,02/12/2013,31/12/2015,2:2,University of Huddersfield,Law
PMO,PMO,124,First Name Surname 124,Moorgate,London,04/12/2013,30/11/2015,2:1,University of York,Chemistry
PMO,PMO,142,First Name Surname 142,Moorgate,London,09/12/2013,08/12/2015,2:1,University of Salford,Electrical and Electronic Engineering
Development (Java),Consulting,122,First Name Surname 122,Newcastle,London,16/12/2013,15/12/2015,2:1,Newcastle University ,Biological Sciences
MX.3 Support,Support,143,First Name Surname 143,Leeds Centre,London,16/12/2013,03/01/2016,2:2,University of Sheffield,History
Testing,Testing,145,First Name Surname 145,Birmingham New Street,Leeds,17/12/2013,16/12/2015,2:1,Glasgow Caledonian University,Biological Sciences
Testing,Testing,147,First Name Surname 147,Birmingham New Street,Leeds,17/12/2013,18/12/2015,2:1,Nottingham Trent University,Electrical and Electronic Engineering
Testing,Testing,146,First Name Surname 146,Birmingham New Street,Leeds,17/12/2013,18/03/2016,2:1,University of Brighton,Mathematics
Development (Java),Consulting,82,First Name Surname 82,Birmingham New Street,London,02/01/2014,31/12/2015,2:2,University of Manchester,History
Data Analyst,Data Services,149,First Name Surname 149,Birmingham New Street,Leeds,06/01/2014,24/12/2015,2:2,University of Salford,Games Design
Development (.Net),Consulting,106,First Name Surname 106,Birmingham New Street,London,06/01/2014,27/12/2015,1,London School of Economics and Politics,Chemistry
Development (.Net),Consulting,107,First Name Surname 107,Birmingham New Street,London,06/01/2014,27/12/2015,2:1,Swansea University,English
Development (Java),Support,76,First Name Surname 76,Birmingham New Street,London,06/01/2014,31/12/2015,3,Cardiff University,Electrical and Electronic Engineering
Application Support,Support,136,First Name Surname 136,Birmingham New Street,London,06/01/2014,05/01/2016,2:1,University of St Andrews,Accounting and Finance
PMO,PMO,153,First Name Surname 153,Birmingham New Street,London,06/01/2014,05/01/2016,2:1,University of East Anglia,Electrical and Electronic Engineering
Data Analyst,Data Services,118,First Name Surname 118,Moorgate,London,06/01/2014,05/01/2016,2:1,University of Huddersfield,Mechanical Engineering
Data Analyst,Data Services,138,First Name Surname 138,Birmingham New Street,London,06/01/2014,29/02/2016,1,Swansea University,Politics
Development (Java),Consulting,98,First Name Surname 98,Leeds Centre,London,08/01/2014,01/01/2016,2:2,Swansea University,Physics and Astronomy
Development (Java),Consulting,97,First Name Surname 97,Leeds Centre,London,08/01/2014,07/01/2016,2:2,University of Abertay,Mechanical Engineering
Development (Java),Consulting,105,First Name Surname 105,Leeds Centre,London,08/01/2014,07/01/2016,2:1,University of Glasgow,Forensic Computing
Development (Java),Consulting,151,First Name Surname 151,Birmingham New Street,London,13/01/2014,31/12/2015,2:1,Manchester Metropolitan University,Mechanical Engineering
Development (.Net),Consulting,141,First Name Surname 141,Leeds Centre,London,13/01/2014,31/12/2015,2:1,University of Manchester,Aeronautical Engineering
Development (.Net),Consulting,101,First Name Surname 101,Birmingham New Street,Glasgow,13/01/2014,11/01/2016,1,Manchester Metropolitan University,English
Development (.Net),Consulting,102,First Name Surname 102,Birmingham New Street,Glasgow,13/01/2014,11/01/2016,2:1,Manchester Metropolitan University,Robotics
Development (Java),Consulting,95,First Name Surname 95,Moorgate,Leeds,13/01/2014,11/01/2016,2:1,Newcastle University ,Mathematics
Development (Java),Consulting,157,First Name Surname 157,Birmingham New Street,London,13/01/2014,12/01/2016,2:1,University of St Andrews,Geography and Environmental Sciences
Application Support,Support,133,First Name Surname 133,Birmingham New Street,London,13/01/2014,12/01/2016,2:2,Manchester Metropolitan University,Politics
Application Support,Support,140,First Name Surname 140,Birmingham New Street,London,13/01/2014,12/01/2016,1,University of Manchester,Business and Management Studies
PMO,Support,144,First Name Surname 144,Leeds Centre,London,13/01/2014,12/01/2016,3,London School of Economics and Politics,Chemistry
MX.3 Support,Support,162,First Name Surname 162,Edinburgh,London,13/01/2014,13/01/2016,2:1,University of Brighton,Business and Management Studies
PMO,PMO,164,First Name Surname 164,Newcastle,London,20/01/2014,18/12/2015,2:1,Newcastle University ,Forensic Computing
Development (Java),Consulting,121,First Name Surname 121,Oxford Circus,London,20/01/2014,31/12/2015,2:2,University of Glasgow,Politics
Application Support,Consulting,119,First Name Surname 119,Leeds Centre,London,20/01/2014,31/12/2015,2:1,University of Leicester,English
Application Support,Consulting,120,First Name Surname 120,Leeds Centre,London,20/01/2014,31/12/2015,2:1,Manchester Metropolitan University,Mechanical Engineering
Application Support,Support,150,First Name Surname 150,Newcastle,London,20/01/2014,17/01/2016,2:1,University of Huddersfield,Physics and Astronomy
Development (Java),Consulting,148,First Name Surname 148,Leeds Centre,London,27/01/2014,28/12/2015,2:1,London Metropolitan University,English
PMO,PMO,166,First Name Surname 166,Leeds Centre,London,27/01/2014,04/01/2016,1,University of Leicester,Mechanical Engineering
Data Analyst,Data Services,154,First Name Surname 154,Leeds Centre,London,03/02/2014,31/12/2015,2:2,Bangor University,Robotics
Development (Java),Consulting,111,First Name Surname 111,Birmingham New Street,London,03/02/2014,31/01/2016,2:2,University of East Anglia,English
Development (Java),Consulting,113,First Name Surname 113,Birmingham New Street,London,03/02/2014,29/02/2016,2:2,University of Salford,Economics
Development (Java),Consulting,115,First Name Surname 115,Birmingham New Street,London,03/02/2014,29/02/2016,2:2,Newcastle University ,Politics
Testing,Testing,174,First Name Surname 174,Leeds Centre,London,04/02/2014,18/12/2015,2:2,University of Reading,Politics
PMO,PMO,168,First Name Surname 168,Leeds Centre,London,04/02/2014,31/12/2015,2:1,University of East Anglia,Politics
PMO,PMO,170,First Name Surname 170,Newcastle,London,05/02/2014,04/02/2016,2:1,University of Warwick,English
Development (Java),Consulting,112,First Name Surname 112,Birmingham New Street,London,10/02/2014,30/11/2015,2:1,Open University,Economics
Testing,Testing,178,First Name Surname 178,Birmingham New Street,Leeds,10/02/2014,18/12/2015,2:2,University of East Anglia,Aeronautical Engineering
Testing,Testing,167,First Name Surname 167,Birmingham New Street,London,10/02/2014,31/12/2015,2:2,University of East Anglia,Chemical Engineering
Development (Java),Consulting,110,First Name Surname 110,Birmingham New Street,London,10/02/2014,29/02/2016,2:2,University of Leeds,Politics
Application Support,Support,130,First Name Surname 130,Birmingham New Street,London,13/02/2014,25/01/2016,2:1,University of St Andrews,Physics and Astronomy
Development (Java),Consulting,175,First Name Surname 175,Oxford Circus,London,17/02/2014,31/12/2015,2:2,University of Sheffield,Geography and Environmental Sciences
Development (Java),Consulting,152,First Name Surname 152,Birmingham New Street,London,17/02/2014,31/12/2015,2:2,University of Sheffield,Business and Management Studies
Development (Java),Consulting,114,First Name Surname 114,Birmingham New Street,London,17/02/2014,31/01/2016,1,University of Warwick,Psychology
Application Support,Support,135,First Name Surname 135,Moorgate,London,17/02/2014,16/02/2016,2:2,University of Huddersfield,Forensic Computing
Application Support,Support,137,First Name Surname 137,Moorgate,London,17/02/2014,16/02/2016,2:1,University of Leeds,Marketing
PMO,PMO,173,First Name Surname 173,Edinburgh,London,17/02/2014,29/02/2016,2:2,University of Reading,Mathematics
Application Support,Support,172,First Name Surname 172,Newcastle,London,24/02/2014,23/02/2016,2:1,Nottingham Trent University,Politics
Testing,Testing,160,First Name Surname 160,Moorgate,London,03/03/2014,13/12/2015,2:2,University of Liverpool,Electrical and Electronic Engineering
Application Support,Business Intelligence,193,First Name Surname 193,Leeds Centre,London,03/03/2014,08/01/2016,2:2,London School of Economics and Politics,History
Infrastructure,Support,165,First Name Surname 165,Birmingham New Street,London,03/03/2014,23/02/2016,2:1,University of Essex,Mechanical Engineering
Development (Java),Consulting,131,First Name Surname 131,Birmingham New Street,London,03/03/2014,26/02/2016,3,University of Sheffield,Accounting and Finance
Data Analyst,Data Services,182,First Name Surname 182,Edinburgh,Leeds,03/03/2014,01/03/2016,3,London Metropolitan University,Mechanical Engineering
Development (Java),Consulting,134,First Name Surname 134,Birmingham New Street,London,03/03/2014,02/03/2016,2:1,University of Glasgow,Computer Science
Development (Java),Consulting,139,First Name Surname 139,Birmingham New Street,London,03/03/2014,02/03/2016,2:1,Nottingham Trent University,Mathematics
Development (C++),Consulting,197,First Name Surname 197,Leeds Centre,London,03/03/2014,02/03/2016,2:1,University of Leeds,Forensic Computing
PMO,PMO,190,First Name Surname 190,Moorgate,Leeds,03/03/2014,02/03/2016,2:1,Swansea University,Civil Engineering
PMO,PMO,185,First Name Surname 185,Edinburgh,Leeds,03/03/2014,02/03/2016,2:1,London Metropolitan University,Aeronautical Engineering
Data Analyst,Data Services,188,First Name Surname 188,Edinburgh,Leeds,03/03/2014,02/03/2016,3,Nottingham Trent University,Accounting and Finance
PMO,PMO,183,First Name Surname 183,Edinburgh,Leeds,03/03/2014,02/03/2016,2:2,University College London,Physics and Astronomy
Data Analyst,Data Services,184,First Name Surname 184,Edinburgh,Leeds,03/03/2014,02/03/2016,2:2,University of Glasgow,Business and Management Studies
PMO,PMO,186,First Name Surname 186,Edinburgh,Leeds,03/03/2014,02/03/2016,2:2,University of Liverpool,Mechanical Engineering
PMO,PMO,187,First Name Surname 187,Edinburgh,Leeds,03/03/2014,02/03/2016,2:1,Swansea University,Games Design
Testing,Testing,158,First Name Surname 158,Moorgate,London,10/03/2014,09/03/2016,2:2,Newcastle University ,Geography and Environmental Sciences
Application Support,Support,191,First Name Surname 191,Moorgate,Leeds,10/03/2014,09/03/2016,2:2,Newcastle University ,Chemical Engineering
Testing,Testing,192,First Name Surname 192,Moorgate,Leeds,10/03/2014,09/03/2016,1,University of Sheffield,History
PMO,PMO,199,First Name Surname 199,Newcastle,London,11/03/2014,10/03/2016,2:2,University of Nottingham,Economics
Development (Java),Consulting,132,First Name Surname 132,Birmingham New Street,London,12/03/2014,01/03/2016,2:1,University of Warwick,Electrical and Electronic Engineering
Development (Java),Consulting,127,First Name Surname 127,Birmingham New Street,London,14/03/2014,26/11/2015,2:1,University of Brighton,Politics
Development (Java),Consulting,125,First Name Surname 125,Birmingham New Street,London,14/03/2014,13/03/2016,2:1,Nottingham Trent University,Electrical and Electronic Engineering
Development (Java),Consulting,126,First Name Surname 126,Birmingham New Street,London,14/03/2014,13/03/2016,2:1,University of St Andrews,English
Development (Java),Consulting,128,First Name Surname 128,Birmingham New Street,London,14/03/2014,13/03/2016,2:2,Glasgow Caledonian University,Electrical and Electronic Engineering
Development (Java),Consulting,129,First Name Surname 129,Birmingham New Street,London,14/03/2014,13/03/2016,2:2,University of Brighton,English
Development (Java),Consulting,163,First Name Surname 163,Birmingham New Street,London,14/03/2014,13/03/2016,2:2,Manchester Metropolitan University,Geography and Environmental Sciences
Development (Java),Consulting,177,First Name Surname 177,Birmingham New Street,London,14/03/2014,13/03/2016,1,University of Salford,Chemical Engineering
Development (Java),Consulting,179,First Name Surname 179,Birmingham New Street,London,14/03/2014,13/03/2016,2:2,Coventry University,Electrical and Electronic Engineering
Development (Java),Consulting,198,First Name Surname 198,Moorgate,London,17/03/2014,29/02/2016,3,Bangor University,Business and Management Studies
Development (Java),Consulting,161,First Name Surname 161,Leeds Centre,London,17/03/2014,16/03/2016,2:1,University of Brighton,Geography and Environmental Sciences
Development (Java),Consulting,195,First Name Surname 195,Moorgate,Leeds,17/03/2014,16/03/2016,2:2,University of St Andrews,Mathematics
Development (Java),Consulting,196,First Name Surname 196,Moorgate,Leeds,17/03/2014,16/03/2016,2:2,University of Brighton,Geography and Environmental Sciences
Application Support,Support,200,First Name Surname 200,Moorgate,London,19/03/2014,16/03/2016,3,Open University,Mechanical Engineering
PMO,PMO,171,First Name Surname 171,Moorgate,London,19/03/2014,18/03/2016,2:1,Manchester Metropolitan University,English
Testing,Testing,207,First Name Surname 207,Birmingham New Street,Leeds,24/03/2014,18/12/2015,2:2,University of Portsmouth,Economics
PMO,PMO,189,First Name Surname 189,Birmingham New Street,London,24/03/2014,31/12/2015,2:2,University of Abertay,Chemistry
Development (Java),Consulting,201,First Name Surname 201,Birmingham New Street,London,24/03/2014,31/01/2016,2:1,Manchester Metropolitan University,Computer Science
PMO,PMO,176,First Name Surname 176,Moorgate,Leeds,24/03/2014,23/03/2016,2:2,University of Glasgow,Computer Science
PMO,PMO,180,First Name Surname 180,Moorgate,London,31/03/2014,11/12/2015,2:1,University of Leicester,Marketing
Development (Java),Consulting,202,First Name Surname 202,Birmingham New Street,London,31/03/2014,29/02/2016,1,University of Chester,Marketing
Development (Java),Consulting,155,First Name Surname 155,Birmingham New Street,London,31/03/2014,30/03/2016,2:1,University of Reading,Mathematics
Development (Java),Consulting,156,First Name Surname 156,Birmingham New Street,London,31/03/2014,30/03/2016,2:2,Open University,Electrical and Electronic Engineering
Data Analyst,Data Services,194,First Name Surname 194,Newcastle,London,31/03/2014,30/03/2016,2:2,London Metropolitan University,Forensic Computing
Development (.Net),Consulting,169,First Name Surname 169,Newcastle,London,31/03/2014,30/03/2016,2:1,University of Manchester,Computer Science
Testing,Testing,159,First Name Surname 159,Moorgate,London,31/03/2014,30/03/2016,1,London School of Economics and Politics,Economics
Data Analyst,Data Services,222,First Name Surname 222,Moorgate,London,02/04/2014,09/02/2016,2:1,University of Warwick,Biological Sciences
Testing,Testing,218,First Name Surname 218,Moorgate,London,03/04/2014,04/03/2016,2:1,Glasgow Caledonian University,Economics
Development (Java),Consulting,238,First Name Surname 238,Leeds Centre,London,07/04/2014,18/12/2015,2:1,Nottingham Trent University,Business and Management Studies
